Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
0.3.0,4.09,1.76*
0.4.0,9.14,2.49*
0.5.0,6.39,nan
0.6.0,6.54,4.55
0.7.0,4.22,2.72
0.8.0,4.42,3.01
0.9.0,6.31,5.77
0.10.0,5.94,6.69
0.11.0,3.42,8.92
0.12.0,2.91,5.17
0.13.0,4.83,5.05
0.14.0,4.01*,nan
1.0.0,6.47,nan
