Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1,3.99*,14.87
1.1,11.66,nan
1.2,7.48,nan
1.3,5.32,3.7
2.0.0,nan,nan
2.1.0,nan,4.49
2.2.0,nan,6.02
