Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1,nan,nan
2,nan,nan
2.1,nan,nan
3,7.75,nan
3.1,7.64,nan
3.2,11.65,nan
3.3,22.99,nan
4,39,17.63
4.1,nan,13.58
