Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1,42,nan
1.1,20,nan
1.2,55,nan
1.3,5.29,nan
1.4,3.47*,7.64
2,15.4,nan
2.1,24.38,13
2.2,31.71,10.29
2.3,32.12,3.75*
2.4,32.12,7.72
2.5,12.14,3.71
