Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1.4,6.78,0.79*
1.5,15.17,5.77
1.6,inf,5.44
1.7,8.03,6.7
1.8,4.52,3.0*
1.9,4.52,5.86
1.10,3.97*,5.0
2.2,3.17*,2.36*
