Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1.4.1,3.52*,13.1
2.0.0,9.25,8.83
2.1.0,11.31,17.11
2.2.0,10.74,7.78
2.3.0,6.6,13.88
2.4.0,15.5,7.68
