Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1,18.81,nan
1.1,10.85,nan
1.2,10.89,1.07*
2,2.53,nan
2.1,6.3,nan
2.2,8.55,11.11
3,4.9,nan
3.1,6.32,6.25
3.2,7.06,2.8*
3.3,7.36,3.6
3.4,7.05,2.28
3.5,4.66*,3.83
