Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
0.7,2.71*,nan
0.8,3.33,1.66*
0.9,2.66,5.43
1,2.0*,2.55
1.1,2.63,2.81
1.2,3.14,2.91
1.3,3.44,0.52*
1.4,2.94,3.75
1.5,2.74,3.34
1.6,2.59,2.78
1.7,3.04,2.5*
1.8,12.78,nan
1.9,4.29*,3.24
1.1,2.41*,3.29
1.11,8.16,4.31
1.12,12.61,nan
1.13,18.64,7.24*
1.14,nan,4.2
2,2.48,2.65
2.1,2.68*,1.48*
2.2,2.37,1.26*
2.3,13.36,3.1
