Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
2,1.41*,nan
2.1,4.98*,nan
2.2,6.82,nan
2.3,6.38,nan
2.4,14.63,nan
2.5,nan,nan
2.6,nan,0.65*
3,4.78,3.75
3.1,3.38,2.35*
3.2,7.47,4.39
3.3,33.94,4.75
3.4,5.67,6.7
3.5,5.59,3.34
3.6,7.9,4.89
