Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1,0.0*,nan
1.1,0.73*,nan
1.2,0.71*,nan
1.3,3.5*,1.12*
1.4,3.15*,1.01*
2,4.58*,7.08
2.1,5.89*,9.62
2.2.0,2.06*,21.25
2.3.0,2.12*,11.14
2.4.0,nan,26.18
2.5.0,nan,9.28
