Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1.4,0.0*,nan
1.5,1.92*,nan
1.6,nan,nan
1.7,nan,nan
1.8,nan,nan
3,0.22*,nan
3.1,0.22*,nan
3.2,0.34*,nan
