Releases,Odds ratios (manually validated data),Odds ratios (szz generated data)
1.9,22.38,9.2
1.10,10.11,8.63
1.11,36.0,7.95
1.12,22.91,nan*
1.13,9.75,10.13
1.14,inf,0.0*
1.15,inf,13.63
1.16,inf,6.0
